constant_secular_drift_hz_per_s,bigear_null_visits_still_in_band,active_campaigns,active_campaign_count,log10_max_likelihood_suppression_vs_original_only,drift_during_original_72s_hz,fits_original_10khz_channel
4.903931697006242e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.530830821844494e-05,True
5.238388541298659e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.7716397497350346e-05,True
5.595655935901621e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.028872273849167e-05,True
5.977289600826082e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.303648512594779e-05,True
6.384951358948571e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.597164978442971e-05,True
6.820416372414831e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.910699788138678e-05,True
7.285580872579216e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,5.245618228257036e-05,True
7.782470417139472e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,5.60337870034042e-05,True
8.313248710422897e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,5.985539071504486e-05,True
8.880227025231676e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,6.393763458166806e-05,True
9.485874267274704e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,6.829829472437787e-05,True
1.013282772601153e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,7.295635962728302e-05,True
1.0823904558722989e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,7.793211282280553e-05,True
1.156211405781589e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,8.324722121627441e-05,True
1.2350670754779412e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,8.892482943441177e-05,True
1.3193008417854922e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,9.498966060855544e-05,True
1.4092795004371367e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00010146812403147385,True
1.5053948632856707e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00010838843015656829,True
1.6080654644475697e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00011578071344022501,True
1.7177383828087873e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00012367716356223268,True
1.834891188828682e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0001321121655956651,True
1.9600340241194444e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0001411224497366,True
2.0937118228565132e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00015074725124566895,True
2.236506684693146e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0001610284812979065,True
2.3890404095119504e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00017201090948486042,True
2.551977205050971e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00018374235876366993,True
2.7260265791946937e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00019627391370201795,True
2.911946429524436e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00020966014292575938,True
3.1105463435815324e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00022395933673787034,True
3.322691124214326e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00023923376094343147,True
3.5493045553601086e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00025554992798592784,True
3.791373424660041e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00027297888657552296,True
4.049951820423589e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0002915965310704984,True
4.326165721653518e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0003114839319590533,True
4.621217901118737e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.000332727688880549,True
4.936393162825441e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0003554203077234317,True
5.273063936693104e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0003796606034419035,True
5.6326962547971915e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0004055541303453978,True
6.01685613520239e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00043321364173457206,True
6.4272164011844335e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0004627595808852792,True
6.8655639655350635e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0004943206055185246,True
7.333807611669514e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.000528034148040205,True
7.833986305419288e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0005640470139901887,True
8.368278073703922e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0006025160213066824,True
8.939009488744035e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0006436086831895705,True
9.548665799114418e-06,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0006875039375362381,True
1.0199901751753047e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0007343929261262194,True
1.0895553152050206e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0007844798269476148,True
1.1638649212356194e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.000837982743289646,True
1.2432425742679266e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0008951346534729071,True
1.3280339241012575e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0009561844253529054,True
1.4186081944646352e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0010213979000145373,True
1.5153597908006231e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0010910590493764486,True
1.6187100177028856e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0011654712127460777,True
1.729108913486022e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0012449584177099359,True
1.8470372098763352e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0013298667911109613,True
1.973008425356974e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0014205660662570214,True
2.1075711012829238e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0015174511929237052,True
2.251311190503029e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0016209440571621808,True
2.4048546088902573e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0017314953184009853,True
2.5688699608908788e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0018495863718414327,True
2.744071450960909e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0019757314446918546,True
2.9312219935676872e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.002110479835368735,True
3.1311365352990976e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0022544183054153503,True
3.3446856035465425e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0024081736345535104,True
3.572799097214362e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0025724153499943406,True
3.816470335962365e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.002747858641892903,True
4.07676038561392e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0029352674776420224,True
4.354802678564516e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0031354579285664515,True
4.651807949310428e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0033493017235035082,True
4.9690695065891616e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0035777300447441965,True
5.3079688650892134e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.003821737582864234,True
5.669981761252482e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.004082386868101787,True
6.05668457936509e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.004360812897142865,True
6.469761215918893e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.0046582280754616035,True
6.911010412134797e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.004975927496737054,True
7.382353586576994e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.005315294582335436,True
7.885843201965518e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.005677807105415173,True
8.423671702620254e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.006065043625886583,True
8.99818106145444e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.006478690364247197,True
9.611872978090041e-05,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.00692054854422483,True
0.00010267419772502774,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.007392542236201997,True
0.00010967676021633087,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.007896726735575822,True
0.00011715690989634428,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.008435297512536789,True
0.00012514721905886855,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.009010599772238536,True
0.00013368248148594385,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.009625138666987956,True
0.00014279986395729065,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.010281590204924926,True
0.0001525390680929638,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.010982812902693392,True
0.0001629425032339594,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.011731860232845077,True
0.00017405547111359085,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.012531993920178541,True
0.00018592636312377486,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.01338669814491179,True
0.00019860687103523414,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.014299694714536858,True
0.00021215221208918615,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.015274959270421403,True
0.0002266213694406883,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.01631673859972956,True
0.00024207734900064627,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.01742956912804653,True
0.0002585874537948983,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.018618296673232677,True
0.00027622357703508354,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.019888097546526016,True
0.0002950625151774548,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.021244501092776747,True
0.0003151863023328673,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.022693413767966446,True
0.0003366825674841127,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.024241144858856114,True
0.0003596449160661185,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.025894433956760533,True
0.00038417333757058544,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.02766048030508215,True
0.00041037464094999005,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,0.029546974148399283,True
